Product_Name,Price (in Rs),Rating (out of 5)
Apple iPhone Xs Max (256GB) - Gold,99900,4.4
Apple iPhone 6s (128GB) - Gold,25499,4.1
Apple iPhone XR (128GB) - Black,54900,4.5
Apple iPhone Xs (512GB) - Space Grey,89900,4.3
iPhone 4 Made Simple (Madesimple Learning),2284,4.0
AmazonBasics Apple Certified Lightning to USB Charge and Syn,599,4.1
CXV CASES® 5watt Charger with USB Cable Compatible for Apple,849,3.5
Wayona Nylon Braided WN3LG1 USB Syncing and Charging Cable s,399,3.7
Wayona Nylon Braided USB Data Sync & Charging Cable for iPho,399,3.9
AmazonBasics Nylon Braided USB A to Lightning Compatible Cab,799,4.1
AmazonBasics Mobile Case for Apple iPhone 7 Plus (Clear),149,4.1
Spazy Case® 3 in 1 Charging Stand for Apple Watch Airpods iP,1999,3.9
AmazonBasics Nylon Braided USB A to Lightning Compatible Cab,799,4.1
Wayona Nylon Braided (2 Pack) USB Syncing and Charging Cable,649,3.7
AmazonBasics Nylon Braided USB A to Lightning Compatible Cab,799,4.1
Zybux™ Fast Charging & Data Sync USB Cable for Apple iPhone ,349,4.2
